Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Amet nostrum inventore aut animi amet.,2024-08-06,2024-08-27,Atque quibusdam doloremque nobis optio ab. Iure incidunt nulla aut officiis perferendis. Iste eveniet deserunt.,Automatizacion de Procesos|Desarrollo Web,"9000266-3|Alejandra Silvia Corral|carmenrojas@example.net, 9000036-3|Lic. Amador Valdes|carlosreyes@example.org","9000017-3|Maximiliano Felipe Palomino Luevano|sbeltran@example.org, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com, 9000214-3|Javier Quintanilla Hidalgo|mgallegos@example.net",8|11|10,Delectus consequuntur aliquid consectetur nesciunt maiores officiis facere nesciunt molestiae corpor|Est exercitationem fuga ab nesciunt perspiciatis animi magni saepe similique in deserunt.|Odit dicta architecto deleniti labore porro iusto possimus.
Necessitatibus excepturi error eveniet autem soluta tenetur libero.,2023-12-31,2024-01-07,Possimus iure distinctio laboriosam quisquam.,Realidad Aumentada,"9000178-0|Maximiliano Geronimo Villalpando|benito34@example.org, 9000001-1|Gonzalo Pina|mcorrea@example.com, 9000117-4|Mtro. Olga Sanchez|daniel47@example.com","9000224-1|Catalina Pilar Balderas Villa|yuridia16@example.com, 9000029-4|Ricardo Antonia Armenta|smontanez@example.org, 9000156-7|Paulina Torres Lopez|cristina25@example.net",85|15|52,Doloribus deserunt debitis ea aut rerum consequatur omnis suscipit excepturi distinctio itaque fuga.|Optio velit voluptate voluptatum sunt soluta aperiam corporis unde recusandae.|Minus possimus et inventore odio ullam quis nesciunt.
Eos corrupti doloribus occaecati eius consectetur magni.,2023-09-07,2023-10-05,Mollitia consequatur assumenda ipsam expedita. Aliquam maiores excepturi iste inventore facilis libero earum. Debitis doloremque officia.,Aprendizaje Profundo|Analisis Forense Digital,"9000075-3|Rocio Luis Miguel Vergara Ozuna|estefania28@example.com, 9000152-1|Pablo Trevino|micaelagaona@example.com, 9000210-8|Sr(a). Jeronimo Garrido|arevaloalta-gracia@example.org","9000040-6|Cynthia Irene Garza|norma41@example.com, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000079-K|Dr. Esparta Acosta|lugomarisol@example.net",64|27|19,Voluptatum voluptatum quibusdam qui totam ab error reprehenderit quos illo illo neque omnis.|Omnis voluptatibus veritatis sint dolorem quam distinctio doloremque nesciunt mollitia iusto repelle|Recusandae est deleniti quo praesentium distinctio ipsum nam fugiat neque.
Esse qui libero omnis.,2025-03-19,2025-04-11,At aut mollitia adipisci porro. Ad dicta tenetur harum dignissimos enim minima. Animi maxime cupiditate similique illum culpa beatae.,Metodos Numericos|Ciberseguridad|Desarrollo Web,"9000280-K|Carla Elisa Mata|tellodulce-maria@example.org, 9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org, 9000048-8|Lic. Linda Banuelos|luciaordonez@example.net","9000097-0|Virginia Tirado Cepeda|caridad28@example.com, 9000222-3|Dr. Marco Antonio Bustos|maria-del-carmenmontes@example.org, 9000269-2|Conchita Zelaya|itzelmatos@example.org",71|98|79,Sunt itaque nemo qui enim sunt itaque praesentium quae error nostrum repellat cupiditate.|Debitis nulla inventore harum omnis praesentium atque praesentium aliquam.|Earum occaecati eos totam praesentium quam dolor laudantium.
Commodi fuga quidem magnam quod illum cumque.,2024-10-17,2024-10-19,Aliquid ad odit perferendis iure exercitationem id. Id ab beatae totam eveniet.,Data Warehousing|Redes Neuronales|Analisis de Algoritmos,"9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com, 9000132-2|Gregorio Arcelia Gonzales|olivaresgerman@example.com, 9000103-9|Cynthia Margarita Urena Ponce|carrascoantonio@example.net","9000190-8|Alejandro Lozada|alvarofeliciano@example.org, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org, 9000180-5|Ing. Jose Carlos Robles|sarabriseno@example.org",44|0|23,Tempora minus ipsam aliquid odio minima.|Hic est amet a quo quisquam ut.|Tenetur dicta accusamus adipisci accusamus reprehenderit perspiciatis aperiam vero atque.
Quam aliquid maiores repellendus.,2023-12-07,2024-01-19,Occaecati numquam vel hic incidunt doloremque autem. Cupiditate illo et harum itaque architecto. Officiis fuga architecto dolor error.,Etica en Tecnologia,"9000127-1|Abelardo Irizarry|natividadcaraballo@example.net, 9000200-6|Angela Rosario Barreto|karinacasares@example.net","9000045-4|Andrea Rolon Rangel|nelly91@example.com, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net, 9000271-2|Cristobal Leticia Sandoval Marquez|lucerojose-carlos@example.net",27|48|53,Qui quidem nulla animi fugiat eos corrupti dignissimos alias.|Voluptates ipsam soluta consequatur et ratione aliquam recusandae impedit repellat quibusdam dolorem|Doloribus molestiae tenetur pariatur dolorum porro quaerat non fugit eum.
Occaecati aperiam laudantium veritatis amet voluptatibus.,2024-07-25,2024-08-18,"At nihil rerum ut. Magni incidunt iusto cum deserunt.
Non esse nemo voluptas. Earum quos aspernatur voluptate id. Iusto in non inventore.",DevOps|Mineria de Datos,"9000015-1|Leonel Farias|villarrealsoledad@example.org, 9000292-2|Rocio Juana Nieto Cardenas|marianaalvarado@example.net","9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com, 9000186-1|Maria Elena Leonor Pelayo Cadena|luis54@example.com, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com",20|96|79,Asperiores consequatur iusto culpa deleniti accusamus magnam quas laudantium unde velit voluptas.|Fugit est voluptates architecto suscipit voluptatibus commodi ut cum quis.|Quo quibusdam expedita quae odio fuga animi harum incidunt.
Doloribus alias repellat occaecati perspiciatis.,2023-08-20,2023-08-26,Non velit corporis dolorum neque. Accusamus quo officia totam.,Data Warehousing,"9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net, 9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net","9000126-7|Benito Chapa|urbinacristina@example.com, 9000202-8|Rodolfo Rosado de la Rosa|rcordero@example.org, 9000282-0|Lic. Paulina Lemus|cazaresbeatriz@example.com",34|27|96,A architecto possimus minima omnis quasi cupiditate fugiat provident dicta delectus veniam.|Necessitatibus distinctio dicta quibusdam repellat deleniti voluptatem sit ipsam totam autem.|Aspernatur assumenda commodi aperiam adipisci doloremque laborum quis.
Aperiam quibusdam ab.,2024-06-11,2024-06-19,"Nobis sit eius. Fuga nulla omnis labore impedit.
Voluptates vero repellat. Odio sit voluptas.",Gestion de Proyectos|Vision Computacional|Realidad Aumentada,"9000124-2|Ines Esparza|reinaolivera@example.org, 9000084-8|Teodoro Hernandez|qherrera@example.org","9000209-7|Veronica Josefina Najera|cvalverde@example.net, 9000158-4|Juana Ruben Tamez Lozano|msantiago@example.com, 9000251-5|Noemi Castellanos Linares|cruzgeorgina@example.com",50|76|7,Cumque ipsum blanditiis optio dolores distinctio quidem optio at ipsa quaerat.|Ut eveniet fugit eligendi quaerat pariatur veritatis perferendis.|Ullam odio laudantium recusandae ex dolore nemo.
Aperiam exercitationem tenetur quia quam omnis quos vitae.,2024-09-09,2024-09-29,Dolore blanditiis assumenda at qui. Quia blanditiis facilis sequi veritatis. Qui est nihil deleniti harum incidunt quo.,Sistemas Operativos,9000012-6|Lic. Nadia Tamez|ana-luisasauceda@example.org,"9000241-9|Ofelia Muro Barreto|orellanamariano@example.org, 9000026-3|Mtro. Ines Candelaria|menchacavirginia@example.com, 9000276-7|Maria Cristina de Leon Rael|mayayeni@example.com",15|0|63,Nisi est voluptatibus commodi voluptatum provident.|Occaecati dolor eos vitae animi repellat corrupti quaerat sed vel dolore quasi.|Sequi quas error repellendus totam culpa accusantium hic.
Perspiciatis voluptatibus quidem hic minus eligendi.,2023-05-25,2023-06-19,Hic consectetur quibusdam neque rem sed quae. Omnis neque ipsam laboriosam tempore distinctio rem.,Realidad Aumentada|Computacion en la Nube|Machine Learning,"9000273-7|Perla Carolina Espinosa Peres|ndelgado@example.net, 9000134-6|Ivonne Sofia Otero Blanco|zeferino86@example.com, 9000255-0|Camila Mayte Benitez Cisneros|zoeosorio@example.net","9000040-6|Cynthia Irene Garza|norma41@example.com, 9000091-8|Camila German Vela Gastelum|xvalentin@example.net, 9000129-1|Noelia Robles|fmanzanares@example.org",94|5|55,Explicabo labore veniam blanditiis maiores excepturi inventore.|Occaecati illo alias dolores laborum porro veritatis.|Quod voluptatibus perferendis at iure repellendus fugit odio ipsum accusamus.
Assumenda laudantium pariatur magni.,2024-09-04,2024-11-02,Nemo nemo earum quia recusandae debitis laborum officia.,Compiladores,9000266-3|Alejandra Silvia Corral|carmenrojas@example.net,"9000079-K|Dr. Esparta Acosta|lugomarisol@example.net, 9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000097-0|Virginia Tirado Cepeda|caridad28@example.com",51|90|81,Debitis nobis debitis mollitia reiciendis commodi consectetur.|Officiis assumenda ducimus quidem assumenda commodi error vitae.|In veniam a error veniam maxime quos omnis.
Consequuntur laudantium est tenetur voluptatum non.,2023-06-11,2023-07-07,Porro optio aliquid alias consequuntur. Vero nobis dolor facere consectetur. In mollitia ea officiis cum itaque velit perspiciatis.,Computacion Grafica|Gestion de Proyectos,9000015-1|Leonel Farias|villarrealsoledad@example.org,"9000207-K|Fernando Quezada Quinones|josenieves@example.com, 9000104-5|Maria Luisa Oscar Monroy|zoe49@example.com, 9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com",11|55|13,Commodi beatae molestias architecto odit facilis ex earum sit.|Earum atque voluptatem dolore veritatis quos commodi minima.|Nihil rem atque expedita nemo eligendi earum aut aliquid.
Veniam harum exercitationem qui voluptas minus.,2025-02-23,2025-04-02,Asperiores dolores atque nemo. Quia mollitia laudantium soluta.,Realidad Aumentada,"9000084-8|Teodoro Hernandez|qherrera@example.org, 9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net","9000129-1|Noelia Robles|fmanzanares@example.org, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org, 9000180-5|Ing. Jose Carlos Robles|sarabriseno@example.org",28|42|99,Placeat aliquam ipsum cumque ut quis temporibus cupiditate facilis consequatur explicabo amet.|Fugiat fuga beatae totam dolorum molestiae quisquam blanditiis error eos distinctio qui.|Hic ullam ut vero maiores tempora vel tempora sed animi ab itaque error.
A tempora delectus explicabo.,2023-05-06,2023-06-08,Laudantium assumenda maiores corrupti commodi laborum. Quo dolorum iusto fugiat.,Analisis de Sistemas,"9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org, 9000102-3|Graciela Trevino|antoniaquintanilla@example.com, 9000182-3|Esperanza Aurora Puente Calvillo|quirozdaniela@example.net","9000070-K|Jacinto Mercedes Espinosa|citlalicorrea@example.org, 9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com, 9000109-K|Ing. Marisol Vallejo|soledad52@example.com",30|13|18,Pariatur veniam vero voluptatem blanditiis laudantium libero placeat.|Eveniet quisquam sunt magnam unde sapiente harum.|Vero recusandae commodi exercitationem accusamus placeat amet.
Inventore nisi ab laboriosam eligendi assumenda.,2023-12-16,2024-01-24,Nulla quas deleniti eligendi beatae. Voluptatibus dolorum reprehenderit dicta provident. Praesentium magnam debitis voluptatibus.,Algoritmos|Computacion en la Nube,9000098-5|Mtro. Minerva Almaraz|naranjohomero@example.org,"9000298-4|Porfirio Olvera Limon|victor92@example.com, 9000206-K|Dr. Oswaldo Archuleta|lorenadel-valle@example.org, 9000133-K|Fernando German Valdez|espartaco44@example.net",96|72|97,Delectus a optio eum eligendi eius.|Aut delectus veniam facilis esse atque accusamus mollitia similique ex qui facere quod.|Non dolores eius nesciunt assumenda autem occaecati nobis aliquam voluptas sunt repellendus.
Provident unde asperiores molestias exercitationem.,2025-01-10,2025-02-21,Libero minus maiores asperiores ipsa magni. Quod id earum delectus cum dolor possimus.,Realidad Virtual|Data Warehousing|Etica en Tecnologia,"9000181-4|Dalia Marquez Cardenas|marrerorene@example.net, 9000266-3|Alejandra Silvia Corral|carmenrojas@example.net, 9000083-2|Ing. Ignacio Ibarra|yolandamartinez@example.org","9000067-6|Sonia Aldonza Zambrano Rojo|vanesa99@example.org, 9000248-1|Cristal Victor Rosario|biancamontez@example.net, 9000267-8|Ing. Juan Ortega|clemente40@example.com",56|80|38,Modi a expedita non fuga assumenda provident molestias.|Illum nostrum eveniet animi repellendus reprehenderit dolor.|Debitis voluptas modi voluptatem quod quos autem quia fugit.
Sit odio mollitia repellendus dolore.,2024-11-14,2024-12-07,Neque repellat quidem culpa doloremque. Fuga temporibus atque delectus delectus similique.,Sistemas Distribuidos|Estadistica,"9000263-1|Timoteo Natividad Farias Corral|cynthia88@example.org, 9000210-8|Sr(a). Jeronimo Garrido|arevaloalta-gracia@example.org, 9000203-3|Dr. Cristobal Marquez|uriaslorenzo@example.org","9000122-5|Liliana Emilia Partida|tbanuelos@example.org, 9000060-0|Luis Cardenas|equiroz@example.org, 9000090-K|Mario Angel Bustos|cabanmagdalena@example.org",47|36|9,Nobis fugiat accusantium repudiandae quis officia.|Consequatur quo eaque vel nobis recusandae.|Vero autem quasi excepturi provident dicta.
Quis tempora repellendus esse laboriosam doloribus molestiae.,2024-07-20,2024-08-22,Molestiae accusantium aliquid molestias aut suscipit impedit a. Ad incidunt corporis omnis dolorem.,Seguridad Informatica|Interaccion Humano Computador|Tecnologias Moviles,"9000203-3|Dr. Cristobal Marquez|uriaslorenzo@example.org, 9000220-3|Beatriz Gollum Terrazas|juliarendon@example.com","9000031-2|Maria Elena Centeno Serna|kreyes@example.org, 9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000122-5|Liliana Emilia Partida|tbanuelos@example.org",73|83|24,Perspiciatis corrupti pariatur error repellendus expedita aut totam.|Ut repellat quae asperiores a ut corrupti omnis eum hic.|Repellendus beatae incidunt quas corporis eum consectetur quisquam explicabo laudantium laboriosam v
Recusandae ex reiciendis omnis doloribus in libero modi.,2023-04-21,2023-05-24,Itaque saepe mollitia ut in. Repudiandae animi consequuntur vitae provident.,Tecnologias Moviles|Metodos Numericos,9000193-K|Juana Ybarra|qtafoya@example.net,"9000122-5|Liliana Emilia Partida|tbanuelos@example.org, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000139-9|Leonel Mauro Sotelo Partida|evelasco@example.org",91|10|64,Rerum impedit quisquam iusto consequuntur minima veniam iusto quam ipsam officia accusamus beatae.|Sunt adipisci quibusdam magnam ab rerum.|Mollitia repudiandae ullam magnam quae incidunt culpa voluptate maxime voluptate commodi.
Id animi hic reprehenderit voluptate.,2024-05-05,2024-06-20,Natus ratione aliquid. At est voluptatem quibusdam vero magnam. Quibusdam quas voluptate praesentium atque illum.,Computacion en la Nube|Inteligencia Artificial|Bioinformatica,"9000177-7|German Duran|fsalazar@example.com, 9000084-8|Teodoro Hernandez|qherrera@example.org","9000289-3|Abraham Francisca Olivera|mariselajaramillo@example.com, 9000113-2|Veronica Bustamante Villegas|lrios@example.net, 9000062-3|Sr(a). Alicia Bonilla|velazquezgabino@example.net",47|36|49,Voluptatibus non minima quisquam ipsum consectetur enim numquam velit aliquam quae placeat.|Distinctio nostrum asperiores corrupti occaecati libero rem consequuntur sit.|Sint reiciendis tempora libero iste cumque eos architecto nemo explicabo architecto quae itaque.
Voluptatem quis ipsam unde velit voluptas laborum.,2023-07-05,2023-08-18,Id sequi totam consectetur facilis. Veritatis fugiat placeat magni ea soluta placeat nulla. Qui doloribus reprehenderit ab.,Analisis de Vulnerabilidades|DevOps,"9000075-3|Rocio Luis Miguel Vergara Ozuna|estefania28@example.com, 9000205-6|Angela Natividad Mondragon Alcala|gsaiz@example.com, 9000119-6|Camila Teran Jaramillo|bruno46@example.org","9000156-7|Paulina Torres Lopez|cristina25@example.net, 9000110-7|Linda Laboy|nellycarrera@example.com, 9000277-8|Lic. Zacarias Manzanares|ortizflorencia@example.org",86|49|36,Debitis autem vero id inventore illo aperiam.|Voluptatum laborum praesentium labore eius alias culpa iusto odit eum.|Voluptates quo aperiam repellat ratione voluptatem.
Amet sint veritatis placeat earum.,2024-10-24,2024-12-22,Consequuntur earum aspernatur soluta. Sit minima pariatur ea rerum at temporibus.,Automatizacion de Procesos|Aprendizaje Profundo,"9000083-2|Ing. Ignacio Ibarra|yolandamartinez@example.org, 9000205-6|Angela Natividad Mondragon Alcala|gsaiz@example.com, 9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net","9000284-3|Geronimo Elena Carreon|pereasessa@example.org, 9000143-8|Salvador Cristian Benitez|soledadsalcido@example.com, 9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com",39|83|89,Nulla eum voluptates vel quia qui et corrupti itaque corporis sint beatae voluptas.|Ea quam voluptates velit similique odio odit neque alias quia deleniti.|Quo nobis dolor distinctio deleniti perspiciatis veritatis fuga facilis error esse reprehenderit.
Praesentium officiis iste illum.,2024-03-30,2024-05-15,Incidunt voluptate excepturi unde itaque fuga mollitia. Molestiae fugit sapiente porro. Odio praesentium vel temporibus aut assumenda.,Sistemas Embebidos|Machine Learning|Tecnologias Moviles,9000210-8|Sr(a). Jeronimo Garrido|arevaloalta-gracia@example.org,"9000029-4|Ricardo Antonia Armenta|smontanez@example.org, 9000225-K|Marcos Linda Roybal|vfigueroa@example.net, 9000156-7|Paulina Torres Lopez|cristina25@example.net",16|85|89,Fugit deserunt iusto commodi voluptas totam impedit reprehenderit provident qui ab fugiat dolore.|Eaque omnis esse temporibus tenetur perferendis a tenetur adipisci.|Corrupti fugiat repellendus reprehenderit nobis ex.
Voluptatibus doloribus voluptate deserunt officia repudiandae reiciendis.,2024-07-04,2024-08-15,Nulla molestiae voluptas. Fugit quia consectetur iste occaecati facere dolores.,Data Warehousing|Programacion Paralela|Seguridad Informatica,"9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net, 9000182-3|Esperanza Aurora Puente Calvillo|quirozdaniela@example.net, 9000288-7|Leticia Federico Malave|mario88@example.com","9000157-0|Concepcion Ruben Acevedo Lebron|catalinatoledo@example.com, 9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org",23|27|43,Beatae unde commodi consequuntur ea debitis aspernatur.|Totam dignissimos aut recusandae impedit laborum numquam distinctio in suscipit.|Repellat debitis ab debitis necessitatibus non adipisci voluptate voluptatibus laborum nostrum.
A maxime ducimus commodi non modi maxime.,2023-11-09,2023-11-18,Sint beatae dolor eveniet dolor. Eaque laboriosam veritatis expedita.,Algoritmos|Ciberseguridad,9000098-5|Mtro. Minerva Almaraz|naranjohomero@example.org,"9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000258-K|Blanca Limon|qsoto@example.com, 9000035-2|Natalia Mayte Laboy|brunomenendez@example.org",98|69|94,Numquam non inventore necessitatibus fugiat odio aperiam cumque alias maiores.|Illum nobis soluta veniam minus id beatae repellat inventore delectus doloribus dolor fuga.|Quod commodi et ab eveniet iure recusandae.
Natus harum nobis minima aut.,2024-02-18,2024-04-15,Veniam rem perferendis nemo officia placeat ipsa repellendus. Deserunt rem libero voluptatibus in.,Inteligencia Artificial|Aprendizaje Profundo|DevOps,"9000001-1|Gonzalo Pina|mcorrea@example.com, 9000092-3|Diego Hermelinda Alcaraz Tejeda|gerardoarmenta@example.org, 9000168-3|Leonardo Cesar Macias Reyna|antonia07@example.net","9000189-1|Maria del Carmen Vazquez Escobedo|salma78@example.org, 9000085-3|Rodolfo Cisneros Montez|vanesa62@example.net, 9000272-4|Maria del Carmen Candelaria Montalvo|santanaveronica@example.org",92|56|5,Tempore ullam aliquam officia architecto atque.|Quam earum quidem id nam est nostrum hic possimus iste sed.|Sapiente vel aut dolore repudiandae consequuntur voluptatibus.
Dolorem at quam repellat repellendus modi.,2023-06-15,2023-08-01,"Ea quos beatae.
Ea porro recusandae fugit. Unde nesciunt blanditiis eum.",Procesamiento de Lenguaje Natural|Data Warehousing,9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net,"9000250-6|Marcos Olvera|eduardo77@example.com, 9000135-9|Renato Carmona Espino|quintanahumberto@example.com, 9000175-9|Alicia Indira Camacho|clemente20@example.com",68|30|39,Nam sit optio quasi dignissimos aspernatur voluptas animi accusamus dolor.|Deleniti autem dignissimos nihil minus similique quis est iste culpa.|Autem consectetur totam harum iste nulla dicta id architecto incidunt placeat veritatis.
Officiis corporis soluta quia dolores tempora deleniti.,2023-05-23,2023-07-06,Optio iste eaque unde assumenda inventore corrupti.,Algoritmos|Procesamiento de Lenguaje Natural,"9000177-7|German Duran|fsalazar@example.com, 9000203-3|Dr. Cristobal Marquez|uriaslorenzo@example.org, 9000232-8|Rene Olivares Romero|morahector@example.com","9000089-4|Humberto Indira Montano|wcedillo@example.com, 9000034-4|Sr(a). Israel Linares|htorrez@example.com, 9000271-2|Cristobal Leticia Sandoval Marquez|lucerojose-carlos@example.net",53|20|25,Nemo dolores minus eius sunt praesentium.|Hic aut quasi sunt eaque dignissimos ratione expedita enim nisi quasi.|Delectus tenetur numquam qui sequi porro cumque.
Cumque ex iste vitae.,2024-06-08,2024-07-20,Iste quasi voluptatibus ducimus laborum facilis. Repudiandae error ex.,Machine Learning|Ingenieria de Software|Estadistica,"9000178-0|Maximiliano Geronimo Villalpando|benito34@example.org, 9000247-1|Aurora Gustavo Mena|mdel-rio@example.org","9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000260-0|Yolanda Cadena|clararomero@example.com, 9000038-1|Gregorio Carrero|ualonso@example.org",36|10|97,Voluptates soluta cupiditate tenetur expedita ex nihil veniam eius deleniti neque.|Rerum commodi recusandae necessitatibus recusandae expedita beatae ab unde corporis.|Minima enim nam cum laborum aperiam eos.
Aliquam eligendi nihil amet esse inventore optio.,2024-09-20,2024-10-19,Dolorum expedita eligendi.,Arquitectura de Computadores,"9000212-1|Ricardo Rosario Arenas|pereavictor@example.net, 9000116-8|Ing. Alejandra Jimenez|del-riomariano@example.net, 9000188-7|Marcela Noemi Razo Casarez|espartacobarela@example.com","9000251-5|Noemi Castellanos Linares|cruzgeorgina@example.com, 9000122-5|Liliana Emilia Partida|tbanuelos@example.org, 9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com",3|53|6,Rem consequuntur quisquam dolorum impedit dicta esse error unde itaque.|Fugiat soluta ipsa consequuntur ipsam et vel quae.|Explicabo iure vero itaque totam ad quisquam at consequuntur tenetur ratione.
Maiores consectetur molestiae natus eos quidem hic illo.,2024-12-27,2025-01-12,Rem soluta itaque amet amet rerum officiis.,Testing de Software|Procesamiento de Lenguaje Natural,"9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net, 9000178-0|Maximiliano Geronimo Villalpando|benito34@example.org","9000222-3|Dr. Marco Antonio Bustos|maria-del-carmenmontes@example.org, 9000045-4|Andrea Rolon Rangel|nelly91@example.com, 9000264-3|Modesto Norma Ontiveros|iglesiasfrancisca@example.net",12|91|83,Numquam dicta architecto corrupti sunt maxime doloribus aut ad magni hic unde.|Illo voluptatem reprehenderit sapiente molestias reprehenderit placeat similique nulla.|Corporis accusantium consequuntur quia dolores maiores praesentium dicta laboriosam enim aut.
Laudantium pariatur hic possimus autem impedit incidunt adipisci.,2025-01-15,2025-01-18,Natus accusamus esse officia. Ipsam tenetur explicabo consequuntur sunt itaque ab culpa. Sequi magnam expedita provident hic aperiam omnis.,Big Data|Machine Learning,"9000123-3|Linda Maximiliano Rodriquez Guerrero|jurena@example.com, 9000012-6|Lic. Nadia Tamez|ana-luisasauceda@example.org","9000267-8|Ing. Juan Ortega|clemente40@example.com, 9000135-9|Renato Carmona Espino|quintanahumberto@example.com, 9000166-8|Berta Jose Carlos Tovar Munoz|oterogeronimo@example.org",10|2|32,Architecto adipisci quasi doloremque pariatur libero perspiciatis eum doloremque quo totam.|Autem sunt quas fugit voluptate ullam aperiam dolorum alias.|Ipsam fugiat occaecati adipisci cupiditate autem.
Fugiat voluptates nemo dicta dolorum ipsa enim.,2024-07-22,2024-08-27,"Inventore minus ratione assumenda. Occaecati pariatur dignissimos.
Facere illum molestias. Exercitationem placeat vero quas.",Big Data,"9000102-3|Graciela Trevino|antoniaquintanilla@example.com, 9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net, 9000148-8|Luisa Lilia Robles Ayala|ballesteroskarina@example.net","9000278-1|Mtro. Armando Pineda|posadasalvador@example.org, 9000052-8|Clara Rodarte|fadame@example.org, 9000141-8|Alta  Gracia Claudio Zuniga|iaragon@example.org",15|6|30,Ex dolore velit ullam dolorum praesentium architecto sit voluptas asperiores nemo sequi.|Magnam id animi possimus beatae iusto totam ea adipisci excepturi ea ex quisquam.|Dignissimos repellendus eveniet quidem totam aperiam laudantium.
Temporibus praesentium quisquam alias voluptatem veniam nisi.,2025-03-08,2025-04-07,Suscipit laboriosam consectetur quam. Alias magni officiis inventore. Quos soluta dolorem ut ad. Modi similique placeat qui mollitia.,Computacion Cuantica|Interaccion Humano Computador,9000148-8|Luisa Lilia Robles Ayala|ballesteroskarina@example.net,"9000120-9|Miguel Angel Escamilla|alfonso04@example.net, 9000244-7|Paulina Rodriguez|fernandoybarra@example.org, 9000157-0|Concepcion Ruben Acevedo Lebron|catalinatoledo@example.com",80|65|73,Voluptatem facilis deserunt ipsa animi doloremque nihil dolorem quibusdam suscipit recusandae necess|Sit dolorum animi animi ipsa eligendi.|Expedita omnis doloribus eos non laboriosam commodi asperiores dolorum molestiae.
Provident repellendus tempore similique ipsam esse facilis.,2024-02-03,2024-02-13,Sit doloribus tempora eum molestiae. Amet tempore provident numquam. Aspernatur tenetur sapiente maxime esse.,Sistemas Recomendadores,"9000065-3|Georgina Sanches|fquezada@example.net, 9000130-2|Alberto Laureano Guevara|claracanales@example.net","9000040-6|Cynthia Irene Garza|norma41@example.com, 9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com, 9000097-0|Virginia Tirado Cepeda|caridad28@example.com",53|23|85,Ipsam dolore fugit optio minus optio adipisci quis vel tenetur.|Ullam tenetur repellat nihil quidem exercitationem repudiandae ipsa incidunt quas.|Rem mollitia veritatis ut enim voluptatibus.
Iure nemo necessitatibus maxime cum fugit quia.,2024-01-15,2024-01-20,Tenetur eligendi placeat earum. Quo eos necessitatibus aliquam earum.,Seguridad Informatica|Programacion Paralela|Procesamiento de Lenguaje Natural,"9000058-3|Gonzalo Godinez|estefania39@example.com, 9000231-1|Patricia Aranda|gollumsusana@example.net, 9000247-1|Aurora Gustavo Mena|mdel-rio@example.org","9000006-2|Blanca Virginia Alvarez|adelamuniz@example.org, 9000033-5|Fernando Cisneros|arteagagregorio@example.com, 9000267-8|Ing. Juan Ortega|clemente40@example.com",5|81|49,Odit nam illum neque aspernatur tempore mollitia veritatis ipsam ducimus ratione ea.|Consectetur occaecati corporis nulla amet beatae aliquam placeat similique neque aliquam quaerat.|Veritatis voluptatibus voluptate accusamus sapiente sed.
Quaerat nobis expedita aspernatur ipsam maiores dolores.,2024-05-07,2024-05-09,Fuga reprehenderit impedit odit soluta corporis eveniet. Ex illum officiis iusto voluptate numquam. Fuga enim corrupti nihil.,Ingenieria de Software|Ingenieria del Conocimiento,"9000127-1|Abelardo Irizarry|natividadcaraballo@example.net, 9000114-3|Federico Rivera|bmiramontes@example.com","9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000249-K|Lic. Oscar Ojeda|fernandorincon@example.com",94|96|42,Occaecati quasi molestiae commodi soluta reiciendis non omnis maxime et deserunt nemo tenetur.|Doloribus quisquam facere iste quibusdam blanditiis dolores quasi sunt facere.|Natus asperiores facere laborum dolorem ratione dolorem repudiandae voluptates unde.
